question,answer,source,topic,is_generated
Какие документы нужно предоставить при подаче заявления в МИРЭА?,"Для подачи заявления в университет нужно представить паспорт или другой документ, подтверждающий личность и гражданство, документ об образовании (можно один или несколько, при иностранном документе необходима справка о признании), документ о регистрации в системе индивидуального учёта при наличии, заявление на обработку персональных данных, а при необходимости документы, подтверждающие инвалидность или особые права, а также документы об индивидуальных достижениях.",https://www.mirea.ru/upload/iblock/191/449k7mij75gmvxgqaekm564yid6ruea9/Pravila_priyema_na_obuchenie_na_2025_2026_uchebnyy_god.pdf,Поступление,TRUE
Нужно ли сразу предоставлять документ об образовании при подаче заявления?,"Документ об образовании можно предоставить не позднее дня завершения приёма документов; при подаче заявления его можно не приносить сразу, но он требуется до окончания установленного срока.",https://www.mirea.ru/upload/iblock/191/449k7mij75gmvxgqaekm564yid6ruea9/Pravila_priyema_na_obuchenie_na_2025_2026_uchebnyy_god.pdf,Поступление,TRUE
"Что делать, если у меня иностранный документ об образовании?","Иностранный документ об образовании принимается вместе со свидетельством о признании иностранного образования, если такое признание требуется. Свидетельство нужно предоставить не позднее срока подачи согласия на зачисление.",https://www.mirea.ru/upload/iblock/191/449k7mij75gmvxgqaekm564yid6ruea9/Pravila_priyema_na_obuchenie_na_2025_2026_uchebnyy_god.pdf,Поступление,TRUE
Нужно ли предоставлять документ о регистрации в системе индивидуального учёта?,"Если у вас есть документ, подтверждающий регистрацию в системе индивидуального (персонифицированного) учёта, он подаётся вместе с заявлением о приёме; при его отсутствии этот пункт не требуется.",https://www.mirea.ru/upload/iblock/191/449k7mij75gmvxgqaekm564yid6ruea9/Pravila_priyema_na_obuchenie_na_2025_2026_uchebnyy_god.pdf,Поступление,TRUE
Что такое согласие на обработку персональных данных и когда его предоставлять?,"Согласие на обработку персональных данных — это заявление, в котором абитуриент разрешает использовать свои личные сведения. Его нужно предоставить одновременно с заявлением о приёме.",https://www.mirea.ru/upload/iblock/191/449k7mij75gmvxgqaekm564yid6ruea9/Pravila_priyema_na_obuchenie_na_2025_2026_uchebnyy_god.pdf,Поступление,TRUE
Какие документы нужны для поступающих с инвалидностью?,"Поступающим с инвалидностью нужно предоставить документ, подтверждающий инвалидность, чтобы университет мог организовать внутренние вступительные испытания с учётом особых условий. Этот документ можно подать вместе с заявлением или позднее, но не позднее срока завершения приёма документов без вступительных испытаний.",https://www.mirea.ru/upload/iblock/191/449k7mij75gmvxgqaekm564yid6ruea9/Pravila_priyema_na_obuchenie_na_2025_2026_uchebnyy_god.pdf,Льготы и квоты,TRUE
Можно ли использовать результаты централизованного тестирования или экзамена (Беларусь) при поступлении?,"Если вы сдавали централизованное тестирование или экзамен в Беларуси, вы можете использовать его результаты вместо ЕГЭ. Для этого нужно предоставить документ, подтверждающий прохождение тестирования, не позднее дня завершения приёма документов без внутренних испытаний.",https://stavropol.mirea.ru/images/doki/Perechen_vstupitelnykh_ispytaniy_2025_2026.pdf,Поступление,TRUE
Какие документы подтверждают наличие особых прав при поступлении?,"Если абитуриент претендует на особые права (льготы) при поступлении, он должен предоставить документ, подтверждающий статус, дающий право на льготу. Этот документ нужно предоставить не позднее завершения приёма документов без вступительных испытаний, чтобы воспользоваться соответствующими правами.",https://www.mirea.ru/upload/iblock/191/449k7mij75gmvxgqaekm564yid6ruea9/Pravila_priyema_na_obuchenie_na_2025_2026_uchebnyy_god.pdf,Льготы и квоты,TRUE
"Нужно ли предоставлять документы, подтверждающие индивидуальные достижения?","Документы, подтверждающие индивидуальные достижения (например, победы в олимпиадах), подаются по желанию абитуриента. Их нужно представить не позднее дня завершения приёма документов, чтобы получить дополнительные баллы.",https://www.mirea.ru/upload/iblock/191/449k7mij75gmvxgqaekm564yid6ruea9/Pravila_priyema_na_obuchenie_na_2025_2026_uchebnyy_god.pdf,Поступление,TRUE
Как подать заявление на предоставление места в общежитии РТУ МИРЭА?,Заявление на предоставление места в студенческом общежитии подаётся поступающим вместе с комплектом документов для поступления на первый курс. Заявление оформляется в электронном виде и направляется в приёмную комиссию до окончания сроков приёма документов.,https://www.mirea.ru/upload/iblock/866/f4ygjcxtsal629tcumt0w29ctz01l20u/Prikaz-ob-izm.-v-poryadok-predostavleniya-mest-v-obshchezhitiyakh.pdf,Общежитие,TRUE
Кто рассматривает заявления о предоставлении мест в общежитиях?,"Заявления поступающих и обучающихся рассматривает комиссия по распределению мест, в которую входят представители администрации университета, студенческого союза и профсоюзной организации. Комиссию возглавляет курирующий проректор.",https://www.mirea.ru/upload/866/f4ygjcxtsal629tcumt0w29ctz01l20u/Prikaz-ob-izm.-v-poryadok-predostavleniya-mest-v-obshchezhitiyakh.pdf,Общежитие,TRUE
"Когда нужно подать заявление на общежитие, если я поступаю в МИРЭА?","Поступающие на очную форму обучения подают заявление на предоставление места в общежитии одновременно с комплектом документов для поступления и не позднее сроков приёма документов, установленных приёмной комиссией.",https://www.mirea.ru/upload/866/f4ygjcxtsal629tcumt0w29ctz01l20u/Prikaz-ob-izm.-v-poryadok-predostavleniya-mest-v-obshchezhitiyakh.pdf,Общежитие,TRUE
"Что произойдёт, если студент не явится для оформления проживания в общежитии?","Если студент не приходит для оформления документов на проживание до 30 сентября без уважительной причины, он теряет предоставленное место, исключается из приказа о заселении и может заново встать в очередь через личный кабинет студента.",https://www.mirea.ru/upload/866/f4ygjcxtsal629tcumt0w29ctz01l20u/Prikaz-ob-izm.-v-poryadok-predostavleniya-mest-v-obshchezhitiyakh.pdf,Общежитие,TRUE
